ULAN,ID_WIKIDATA,ConstituentID,DisplayName,ArtistBio,Nationality,pays,Gender,BeginDate,EndDate,datenaissance,datemort
,Q7341594,1,Robert Arneson,"American, 1930–1992",American,United States,Male,1930,1992,1930-09-04T00:00:00Z,1992-11-02T00:00:00Z
,,2,Doroteo Arnaiz,"Spanish, born 1936",Spanish,Spain,Male,1936,,,
,,3,Bill Arnold,"American, born 1941",American,United States,Male,1941,,,
500027998,Q1063584,4,Charles Arnoldi,"American, born 1946",American,United States,Male,1946,,1946-04-10T00:00:00Z,
,Q3373273,5,Per Arnoldi,"Danish, born 1941",Danish,Denmark,Male,1941,,1941-05-25T00:00:00Z,
,,6,Danilo Aroldi,"Italian, born 1925",Italian,Italy,Male,1925,,,
,,7,Bill Aron,"American, born 1941",American,United States,Male,1941,,,
500003363,Q5230870,9,David Aronson,"American, born Lithuania 1923",American,United States,Male,1923,,,
500042413,Q19748568,10,Irene Aronson,"American, born Germany 1918",American,United States,Female,1918,,1918-03-08T00:00:00Z,1992-01-01T00:00:00Z
500031000,Q153739,11,Jean (Hans) Arp,"French, born Germany (Alsace). 1886–1966",French,France,Male,1886,1966,,
,,12,Jüri Arrak,"Estonian, born 1936",Estonian,Estonia,Male,1936,,,
,,13,J. Arrelano Fischer,"Mexican, 1911–1995",Mexican,Mexico,Male,1911,1995,,
,,15,Folke Arstrom,"Swedish, 1907–1997",Swedish,Sweden,Male,1907,1997,,
,,16,Cristobal Arteche,"Spanish, 1900–1964",Spanish,Spain,Male,1900,1964,,
,,18,Artko,,,Nationality unknown,,0,,,
500114981,Q568262,19,Richard Artschwager,"American, 1923–2013",American,United States,Male,1923,2013,1923-12-26T00:00:00Z,2013-02-09T00:00:00Z
500077806,Q7382874,21,Ruth Asawa,"American, 1926–2013",American,United States,Female,1926,2013,1926-01-24T00:00:00Z,2013-08-05T00:00:00Z
500077806,Q7382874,21,Ruth Asawa,"American, 1926–2013",American,United States,Female,1926,2013,1926-01-24T00:00:00Z,2013-08-06T00:00:00Z
,,22,Isidora Aschheim,Israeli,Israeli,Israel,Female,0,,,
500030367,Q614071,23,Charles Robert Ashbee,"British, 1863–1942",British,United Kingdom,Male,1863,1942,,
,,24,Donald Ashcraft,"American, born 1927",American,United States,Male,1927,,,
,,25,E. M. Ashe,"American, 1867–1941",American,United States,Male,1867,1941,,
,,26,Göran Åslin,"Swedish, born 1940",Swedish,Sweden,,1940,,,
500011232,Q312070,27,Erik Gunnar Asplund,"Swedish, 1885–1940",Swedish,Sweden,Male,1885,1940,,
500025324,Q1978192,28,Geneviève Asse,"French, born 1923",French,France,Female,1923,,,
,,30,Sergio Asti,"Italian, born 1926",Italian,Italy,Male,1926,,,
,Q55217881,31,Dana Atchley,"American, 1941–2000",American,United States,Female,1941,2000,1941-01-01T00:00:00Z,2000-01-01T00:00:00Z
,,32,Atelier Eggers,French,French,France,,0,,,
,,33,A.A.P.,American,American,United States,,0,,,
500002617,Q82840,34,Alvar Aalto,"Finnish, 1898–1976",Finnish,Finland,Male,1898,1976,,
500024110,Q273511,35,Aino Aalto,"Finnish, 1894–1949",Finnish,Finland,Female,1894,1949,,
