ExhibitionID,ExhibitionNumber,ExhibitionLabelvalue,datedebutvalue,annee_expo,datefinvalue,ExhibitionURL,Exhibitionvalue
2557.0,1,"Cézanne, Gauguin, Seurat, Van Gogh",07/11/1929,1929,07/12/1929,moma.org/calendar/exhibitions/1767,
2724.0,2,Paintings by 19 Living Americans,12/12/1929,1929,12/01/1930,moma.org/calendar/exhibitions/1912,
2942.0,3,Painting in Paris,19/01/1930,1930,02/03/1930,moma.org/calendar/exhibitions/2024,
2636.0,4,"Weber, Klee, Lehmbruck, Maillol",12/03/1930,1930,02/04/1930,moma.org/calendar/exhibitions/1766,
2944.0,5a,46 Painters and Sculptors under 35 Years of Age,11/04/1930,1930,27/04/1930,moma.org/calendar/exhibitions/2025,
2853.0,5b,Charles Burchfield: Early Watercolors 1916–1918,11/04/1930,1930,27/04/1930,moma.org/calendar/exhibitions/1978,
2945.0,6,"Homer, Ryder, and Eakins",06/05/1930,1930,04/06/1930,moma.org/calendar/exhibitions/2026,
2725.0,7,Summer Exhibition: Painting and Sculpture,15/06/1930,1930,28/09/1930,moma.org/calendar/exhibitions/1913,
2946.0,8,"Corot, Daumier",15/10/1930,1930,23/11/1930,moma.org/calendar/exhibitions/2027,
2729.0,9,Painting and Sculpture by Living Americans,03/12/1930,1930,20/01/1931,moma.org/calendar/exhibitions/1916,
2855.0,10,"Toulouse-Lautrec, Redon",31/01/1931,1931,02/03/1931,moma.org/calendar/exhibitions/1980,
2671.0,11,German Painting and Sculpture,12/03/1931,1931,22/04/1931,moma.org/calendar/exhibitions/1889,
2606.0,12,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,17/05/1931,1931,06/10/1931,moma.org/calendar/exhibitions/1707,
2694.0,13,Henri Matisse,03/11/1931,1931,06/12/1931,moma.org/calendar/exhibitions/1903,
2854.0,14,Diego Rivera,22/12/1931,1931,27/01/1932,moma.org/calendar/exhibitions/1979,
2981.0,15,Modern Architecture: International Exhibition,09/02/1932,1932,23/03/1932,moma.org/calendar/exhibitions/2044,
2982.0,16,Murals by American Painters and Photographers,03/05/1932,1932,31/05/1932,moma.org/calendar/exhibitions/2045,Q110728261
2607.0,17,Summer Exhibition: Painting and Sculpture,07/06/1932,1932,30/10/1932,moma.org/calendar/exhibitions/1708,Q110163014
2983.0,18,A Brief Survey of Modern Painting,20/07/1932,1932,05/10/1932,moma.org/calendar/exhibitions/2046,Q110163015
2984.0,19,Persian Fresco Painting,12/10/1932,1932,20/11/1932,moma.org/calendar/exhibitions/2047,Q110163016
2985.0,20,"American Painting and Sculpture, 1862–1932",31/10/1932,1932,11/02/1933,moma.org/calendar/exhibitions/2048,Q110728262
2986.0,21,Poster Competition,25/02/1933,1933,12/03/1933,moma.org/calendar/exhibitions/2049,
2987.0,22,"American Folk Art: The Art of the Common Man in America, 1750–1900",30/11/1932,1932,14/01/1933,moma.org/calendar/exhibitions/2930,Q110728263
2988.0,23,Early Modern Architecture: Chicago 1870–1910,18/01/1933,1933,23/02/1933,moma.org/calendar/exhibitions/2050,Q110728264
2989.0,24,Maurice Sterne: Retrospective Exhibition,13/02/1933,1933,25/03/1933,moma.org/calendar/exhibitions/2051,Q110728265
2990.0,24a,Color Reproductions of Mexican Frescoes by Diego Rivera,20/02/1933,1933,12/03/1933,moma.org/calendar/exhibitions/2931,Q110728266
2991.0,24b,Toulouse-Lautrec Prints and Posters,25/02/1933,1933,12/03/1933,moma.org/calendar/exhibitions/2052,Q110728267
2992.0,25,Fruit and Flower Paintings,13/05/1933,1933,31/05/1933,moma.org/calendar/exhibitions/2053,Q110816140
2993.0,25a,Typography Competition,27/03/1933,1933,06/04/1933,moma.org/calendar/exhibitions/2054,Q110728269
2994.0,26,Sculptors' Drawings,27/03/1933,1933,03/05/1933,moma.org/calendar/exhibitions/2055,Q110728270
2995.0,26a,The Museum Collection: Painting and Sculpture,27/03/1933,1933,25/04/1933,moma.org/calendar/exhibitions/2056,Q110728271
153.0,27,Objects: 1900 and Today,10/04/1933,1933,25/04/1933,moma.org/calendar/exhibitions/1789,Q110816138
2996.0,28,The Work of Young Architects in the Middle West,03/04/1933,1933,30/04/1933,moma.org/calendar/exhibitions/2076,Q110816137
2997.0,29,"American Sources of Modern Art (Aztec, Mayan, Incan)",08/05/1933,1933,01/07/1933,moma.org/calendar/exhibitions/2932,Q110816139
2608.0,30,Summer Exhibition: Painting and Sculpture,10/07/1933,1933,30/09/1933,moma.org/calendar/exhibitions/1709,Q110816141
2998.0,30a,Summer Exhibition: Project for a House in North Carolina by William T. Priestly,10/07/1933,1933,30/09/1933,moma.org/calendar/exhibitions/2057,Q110816142
2999.0,30b,Summer Exhibition: Gauguin Woodcuts and Watercolors,10/07/1933,1933,30/09/1933,moma.org/calendar/exhibitions/2058,Q110816143
2614.0,30c,Modern European Art,03/10/1933,1933,27/10/1933,moma.org/calendar/exhibitions/1875,Q110816144
3000.0,30d,A House by Richard C. Wood,03/10/1933,1933,27/10/1933,moma.org/calendar/exhibitions/2059,Q110816145
3001.0,30e,Wilhelm Lehmbruck: Standing Youth,16/11/1933,1933,08/12/1933,moma.org/calendar/exhibitions/2060,Q110816149
3002.0,30f,Walker Evans: Photographs of Nineteenth-Century Houses,16/11/1933,1933,08/12/1933,moma.org/calendar/exhibitions/2061,Q110816150
3003.0,31,Gifts and Loans from the Collection of Mrs. Sadie A. May,16/11/1933,1933,08/12/1933,moma.org/calendar/exhibitions/2062,Q110816152
2726.0,31a,Edward Hopper: Retrospective Exhibition,30/10/1933,1933,08/12/1933,moma.org/calendar/exhibitions/1914,Q110816147
3004.0,32,Painting and Sculpture from 16 American Cities,11/12/1933,1933,07/01/1934,moma.org/calendar/exhibitions/2063,Q110816153
3005.0,33,Philadelphia Savings Fund Society Building by Howe and Lescaze,02/01/1934,1934,24/01/1934,moma.org/calendar/exhibitions/2064,Q110816154
3006.0,33a,International Exhibition of Theatre Art,15/01/1934,1934,25/02/1934,moma.org/calendar/exhibitions/2065,Q110816156
94.0,34,Machine Art,05/03/1934,1934,29/04/1934,moma.org/calendar/exhibitions/1784,Q110816157
3007.0,34a,Early Museum Architecture,05/04/1934,1934,05/05/1934,moma.org/calendar/exhibitions/2066,Q110816158
2887.0,34b,"The Lillie P. Bliss Collection, 1934",14/05/1934,1934,12/09/1934,moma.org/calendar/exhibitions/1995,
3008.0,34c,Whistler: Portrait of the Artist's Mother,15/05/1934,1934,18/05/1934,moma.org/calendar/exhibitions/2067,Q110816159
3009.0,34d,Modern Housing Exhibition,01/06/1934,1934,13/09/1934,moma.org/calendar/exhibitions/2068,Q110816160
3010.0,34e,Westchester Folk Art Exhibition,23/06/1934,1934,09/07/1934,moma.org/calendar/exhibitions/2933,
2609.0,34f,New Acquisitions: Lachaise Torso; Prints,11/07/1934,1934,13/09/1934,moma.org/calendar/exhibitions/1874,Q110816826
3011.0,34g,The War: Etchings by Otto Dix,30/07/1934,1934,13/09/1934,moma.org/calendar/exhibitions/2069,Q110816827
3012.0,34h,The Making of a Museum Publication,11/09/1934,1934,07/10/1934,moma.org/calendar/exhibitions/2934,Q110816830
2971.0,34i,"New Acquisition: Brancusi, Bird in Space",13/08/1934,1934,13/09/1934,moma.org/calendar/exhibitions/2038,Q110816828
3013.0,34j,Color Reproductions: Modern Watercolors and Pastels,13/08/1934,1934,21/09/1934,moma.org/calendar/exhibitions/2070,Q110816829
3014.0,35,National Exhibition of Art by the Public Works of Art Project,19/09/1934,1934,07/10/1934,moma.org/calendar/exhibitions/2935,Q110816831
3015.0,36,Housing Exhibition of the City of New York,15/10/1934,1934,07/11/1934,moma.org/calendar/exhibitions/2071,Q110816832
2615.0,37,Modern Works of Art: 5th Anniversary Exhibition,19/11/1934,1934,20/01/1935,moma.org/calendar/exhibitions/1711,Q110816833
3016.0,37a,New Acquisitions from the Exhibition Machine Art,19/11/1934,1934,20/01/1935,moma.org/calendar/exhibitions/2072,Q110816834
2883.0,38,Gaston Lachaise: Retrospective Exhibition,28/01/1935,1935,07/03/1935,moma.org/calendar/exhibitions/1994,Q110816835
3017.0,38a,"George Caleb Bingham, the Missouri Artist, 1811–1879",28/01/1935,1935,07/03/1935,moma.org/calendar/exhibitions/2936,Q110816837
3018.0,39,African Negro Art,18/03/1935,1935,19/05/1935,moma.org/calendar/exhibitions/2937,Q110816838
3019.0,40,European Commercial Printing of Today,22/05/1935,1935,01/06/1935,moma.org/calendar/exhibitions/2080,Q110816839
2610.0,41,Summer Exhibition: The Museum Collection and a Private Collection on Loan,04/06/1935,1935,24/09/1935,moma.org/calendar/exhibitions/1710,Q110816840
2681.0,42,Fernand Léger: Paintings and Drawings,30/09/1935,1935,24/10/1935,moma.org/calendar/exhibitions/1896,Q110816841
3020.0,42b,"Ignatz Wiemeler, Modern Bookbinder",30/09/1935,1935,24/10/1935,moma.org/calendar/exhibitions/2938,Q110816842
3021.0,42c,Contemporary Architecture in California,30/09/1935,1935,24/10/1935,moma.org/calendar/exhibitions/2081,Q110816843
3022.0,43,The Recent Work of Le Corbusier,24/10/1935,1935,31/10/1935,moma.org/calendar/exhibitions/2082,Q110816844
2888.0,44,Vincent van Gogh,04/11/1935,1935,05/01/1936,moma.org/calendar/exhibitions/1996,
308.0,45a,Posters by Cassandre,14/01/1936,1936,16/02/1936,moma.org/calendar/exhibitions/1805,Q110816845
3024.0,45b,The Architecture of Henry Hobson Richardson,14/01/1936,1936,16/02/1936,moma.org/calendar/exhibitions/2083,Q110816847
2730.0,45c,"New Acquisitions: The Collection of Mrs. John D. Rockefeller, Jr.",14/01/1936,1936,16/02/1936,moma.org/calendar/exhibitions/1917,Q110816848
246.0,46,Cubism and Abstract Art,02/03/1936,1936,19/04/1936,moma.org/calendar/exhibitions/2748,Q60332815
3025.0,47,Modern Painters and Sculptors as Illustrators,27/04/1936,1936,02/09/1936,moma.org/calendar/exhibitions/2939,Q110816849
3026.0,48,Architecture in Government Housing,08/06/1936,1936,13/07/1936,moma.org/calendar/exhibitions/2084,Q110816850
3027.0,49,Modern Exposition Architecture,08/06/1936,1936,02/09/1936,moma.org/calendar/exhibitions/2095,Q110816851
3028.0,50,Edward Steichen's Delphiniums,24/06/1936,1936,01/07/1936,moma.org/calendar/exhibitions/2940,Q110816852
3029.0,51,Summer Exhibition: The Museum Collection and a Private Collection on Loan,20/07/1936,1936,02/09/1936,moma.org/calendar/exhibitions/2941,Q110816853
3030.0,52,New Horizons in American Art,14/09/1936,1936,12/10/1936,moma.org/calendar/exhibitions/2942,Q110816854
3031.0,53,American Art Portfolio,14/09/1936,1936,12/10/1936,moma.org/calendar/exhibitions/2943,Q110816855
3032.0,54,"John Marin: Watercolors, Oil Paintings, Etchings",19/10/1936,1936,22/11/1936,moma.org/calendar/exhibitions/2944,Q110816856
2649.0,55,"Fantastic Art, Dada, Surrealism",07/12/1936,1936,17/01/1937,moma.org/calendar/exhibitions/2823,Q60230869
2611.0,56,Vincent van Gogh,20/01/1937,1937,02/02/1937,moma.org/calendar/exhibitions/2802,Q110816858
3033.0,57,Rugs from the Crawford Shops designed by American Artists,20/01/1937,1937,02/02/1937,moma.org/calendar/exhibitions/2945,Q110816859
3034.0,58,Modern Architecture in England,10/02/1937,1937,07/03/1937,moma.org/calendar/exhibitions/2086,Q110816860
316.0,59,Posters by E. McKnight Kauffer,10/02/1937,1937,07/03/1937,moma.org/calendar/exhibitions/2762,Q110816861
3035.0,59a,New Acquisitions: Gifts of the Advisory Committee,10/02/1937,1937,07/03/1937,moma.org/calendar/exhibitions/2946,Q110816862
3036.0,60,Photography 1839–1937,17/03/1937,1937,18/04/1937,moma.org/calendar/exhibitions/2088,Q110816863
3037.0,61,Prehistoric Rock Pictures in Europe and Africa,28/04/1937,1937,30/05/1937,moma.org/calendar/exhibitions/2947,Q110816864
3038.0,61a,Paintings by Paul Cézanne from the Museum,28/04/1937,1937,30/05/1937,moma.org/calendar/exhibitions/2948,Q110816865
3039.0,61b,Color Reproductions of Paintings by Cézanne,28/04/1937,1937,30/05/1937,moma.org/calendar/exhibitions/2949,Q110816866
3040.0,61c,Twelve Modern Paintings,28/04/1937,1937,30/05/1937,moma.org/calendar/exhibitions/2950,Q110816867
3041.0,62(1),Summer Exhibition: Painting and Sculpture from the Museum Collection and on Loan,23/06/1937,1937,04/11/1937,moma.org/calendar/exhibitions/2951,
3042.0,62(2),"Summer Exhibition: Project for a Community Center by Architects, Painters, and Sculptors Collaborative",23/06/1937,1937,04/11/1937,moma.org/calendar/exhibitions/2952,
3043.0,62(3),Summer Exhibition: A Brief Survey of the American Film,23/06/1937,1937,24/01/1938,moma.org/calendar/exhibitions/2953,
